,City,Country,Max Temp,Lat,Lng,Hotel Name
149,Hobart,AU,79.02,-42.8794,147.3294,Mantra on Collins Hobart
150,Dunedin,NZ,54.81,-45.8742,170.5036,Scenic Hotel Southern Cross
151,Arraial Do Cabo,BR,75.07,-22.9661,-42.0278,Pousada Porto Praia
153,Adrar,MR,61.07,20.5022,-10.0711,
158,Alcudia,ES,51.19,39.8532,3.1214,Zafiro Tropic
159,Matara,LK,74.93,5.9485,80.5353,Amaloh Boutique Resort
162,Airai,TL,69.82,-8.9266,125.4092,
163,Avarua,CK,78.85,-21.2078,-159.775,Paradise Inn
165,Agadez,NE,57.36,19.75,10.25,
169,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
170,Ponta Do Sol,PT,63.23,32.6667,-17.1,Hotel do Campo
172,Punta Arenas,CL,51.91,-53.15,-70.9167,Hotel Hain
173,Marrakesh,MA,55.47,31.6315,-8.0083,Novotel Marrakech Hivernage
175,Mayo,US,54.01,38.8876,-76.5119,Resorts Resource Group International
176,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
177,Kapaa,US,79.48,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
180,Calama,CL,58.26,-22.4667,-68.9333,Diego De Almagro Calama
181,Lagoa,PT,60.75,39.05,-27.9833,Casa Das Faias
183,Busselton,AU,68.04,-33.65,115.3333,Observatory Guest House
184,Atuona,PF,77.67,-9.8,-139.0333,Villa Enata
185,Puerto Ayora,EC,75.54,-0.7393,-90.3518,Finch Bay Galapagos Hotel
186,Hilo,US,78.53,19.7297,-155.09,Hilo Hawaiian Hotel
187,Mataura,NZ,53.47,-46.1927,168.8643,Ellie's Villa
189,Punta Arenas,CL,51.91,-53.15,-70.9167,Hotel Hain
191,Kahului,US,82.42,20.8947,-156.47,Maui Seaside Hotel
192,Portland,US,63.19,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
193,Coahuayana,MX,89.08,18.7333,-103.6833,El rranchito michuacan de ocampos
195,Conceicao Do Araguaia,BR,73.62,-8.2578,-49.2647,Tarumã Tropical Hotel
196,East London,ZA,75.09,-33.0153,27.9116,Tu Casa
198,Carnarvon,AU,86.07,-24.8667,113.6333,Hospitality Carnarvon
200,Busselton,AU,68.04,-33.65,115.3333,Observatory Guest House
201,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
202,Hermanus,ZA,66.9,-34.4187,19.2345,Misty Waves Boutique Hotel
204,Harper,LR,78.44,4.375,-7.7169,Screensaver
205,Saint-Philippe,RE,78.35,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
206,Vaini,TO,86.16,-21.2,-175.2,Keleti Beach Resort
209,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
210,Rio Grande,BR,72.95,-32.035,-52.0986,Hotel Atlântico Rio Grande
214,Kruisfontein,ZA,69.76,-34.0033,24.7314,Oyster Bay House Rental
215,Kapaa,US,79.48,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
216,Aboso,GH,74.79,5.3617,-1.9473,New Atuabo
217,Coihaique,CL,75.81,-45.5752,-72.0662,Diego De Almagro Coyhaique
218,Conceicao Do Araguaia,BR,73.62,-8.2578,-49.2647,Tarumã Tropical Hotel
220,Okakarara,,67.44,-20.5833,17.4333,"Okahitua, Omaboro City"
221,Kavieng,PG,82.49,-2.5744,150.7967,Nusa Island Retreat
222,Souillac,MU,77.38,-20.5167,57.5167,Shanti Maurice Resort & Spa
226,Ugoofaaru,MV,81.55,5.6667,73.0,Ungoofaaru Inn
229,East London,ZA,75.09,-33.0153,27.9116,Tu Casa
231,Hermanus,ZA,66.9,-34.4187,19.2345,Misty Waves Boutique Hotel
234,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
235,Coihaique,CL,75.81,-45.5752,-72.0662,Diego De Almagro Coyhaique
237,Cozumel,MX,78.94,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
239,Castro,BR,61.39,-24.7911,-50.0119,CHACARA BAILLY
